city,year,weekofyear,total_cases
sj,2008,18,26
sj,2008,19,26
sj,2008,20,35
sj,2008,21,13
sj,2008,22,13
sj,2008,23,35
sj,2008,24,35
sj,2008,25,44
sj,2008,26,44
sj,2008,27,44
sj,2008,28,35
sj,2008,29,44
sj,2008,30,44
sj,2008,31,44
sj,2008,32,44
sj,2008,33,44
sj,2008,34,44
sj,2008,35,44
sj,2008,36,38
sj,2008,37,44
sj,2008,38,35
sj,2008,39,35
sj,2008,40,44
sj,2008,41,35
sj,2008,42,35
sj,2008,43,35
sj,2008,44,35
sj,2008,45,35
sj,2008,46,35
sj,2008,47,35
sj,2008,48,35
sj,2008,49,17
sj,2008,50,17
sj,2008,51,26
sj,2008,52,17
sj,2009,1,17
sj,2009,2,17
sj,2009,3,26
sj,2009,4,26
sj,2009,5,26
sj,2009,6,17
sj,2009,7,17
sj,2009,8,10
sj,2009,9,17
sj,2009,10,17
sj,2009,11,10
sj,2009,12,10
sj,2009,13,10
sj,2009,14,10
sj,2009,15,17
sj,2009,16,17
sj,2009,17,17
sj,2009,18,13
sj,2009,19,17
sj,2009,20,35
sj,2009,21,26
sj,2009,22,35
sj,2009,23,35
sj,2009,24,35
sj,2009,25,35
sj,2009,26,44
sj,2009,27,44
sj,2009,28,44
sj,2009,29,44
sj,2009,30,44
sj,2009,31,44
sj,2009,32,44
sj,2009,33,44
sj,2009,34,44
sj,2009,35,44
sj,2009,36,44
sj,2009,37,44
sj,2009,38,44
sj,2009,39,44
sj,2009,40,44
sj,2009,41,44
sj,2009,42,44
sj,2009,43,44
sj,2009,44,44
sj,2009,45,44
sj,2009,46,35
sj,2009,47,35
sj,2009,48,35
sj,2009,49,35
sj,2009,50,35
sj,2009,51,53
sj,2009,52,13
sj,2010,53,13
sj,2010,1,53
sj,2010,2,26
sj,2010,3,53
sj,2010,4,35
sj,2010,5,28
sj,2010,6,17
sj,2010,7,26
sj,2010,8,13
sj,2010,9,35
sj,2010,10,65
sj,2010,11,26
sj,2010,12,53
sj,2010,13,35
sj,2010,14,17
sj,2010,15,17
sj,2010,16,35
sj,2010,17,35
sj,2010,18,44
sj,2010,19,35
sj,2010,20,35
sj,2010,21,35
sj,2010,22,38
sj,2010,23,44
sj,2010,24,44
sj,2010,25,35
sj,2010,26,35
sj,2010,27,38
sj,2010,28,38
sj,2010,29,35
sj,2010,30,35
sj,2010,31,44
sj,2010,32,242
sj,2010,33,44
sj,2010,34,204
sj,2010,35,38
sj,2010,36,38
sj,2010,37,204
sj,2010,38,44
sj,2010,39,35
sj,2010,40,35
sj,2010,41,204
sj,2010,42,35
sj,2010,43,35
sj,2010,44,35
sj,2010,45,35
sj,2010,46,35
sj,2010,47,17
sj,2010,48,17
sj,2010,49,28
sj,2010,50,35
sj,2010,51,17
sj,2011,52,17
sj,2011,1,17
sj,2011,2,26
sj,2011,3,26
sj,2011,4,26
sj,2011,5,17
sj,2011,6,17
sj,2011,7,26
sj,2011,8,17
sj,2011,9,10
sj,2011,10,17
sj,2011,11,10
sj,2011,12,10
sj,2011,13,26
sj,2011,14,13
sj,2011,15,17
sj,2011,16,17
sj,2011,17,17
sj,2011,18,35
sj,2011,19,17
sj,2011,20,53
sj,2011,21,53
sj,2011,22,35
sj,2011,23,53
sj,2011,24,112
sj,2011,25,53
sj,2011,26,44
sj,2011,27,35
sj,2011,28,35
sj,2011,29,35
sj,2011,30,44
sj,2011,31,35
sj,2011,32,38
sj,2011,33,44
sj,2011,34,38
sj,2011,35,35
sj,2011,36,44
sj,2011,37,44
sj,2011,38,35
sj,2011,39,35
sj,2011,40,44
sj,2011,41,35
sj,2011,42,35
sj,2011,43,35
sj,2011,44,35
sj,2011,45,35
sj,2011,46,35
sj,2011,47,35
sj,2011,48,53
sj,2011,49,26
sj,2011,50,35
sj,2011,51,17
sj,2012,52,17
sj,2012,1,26
sj,2012,2,26
sj,2012,3,17
sj,2012,4,17
sj,2012,5,17
sj,2012,6,17
sj,2012,7,17
sj,2012,8,17
sj,2012,9,17
sj,2012,10,17
sj,2012,11,17
sj,2012,12,17
sj,2012,13,17
sj,2012,14,26
sj,2012,15,13
sj,2012,16,26
sj,2012,17,17
sj,2012,18,35
sj,2012,19,35
sj,2012,20,35
sj,2012,21,35
sj,2012,22,35
sj,2012,23,44
sj,2012,24,44
sj,2012,25,44
sj,2012,26,44
sj,2012,27,44
sj,2012,28,44
sj,2012,29,44
sj,2012,30,44
sj,2012,31,44
sj,2012,32,44
sj,2012,33,44
sj,2012,34,44
sj,2012,35,35
sj,2012,36,44
sj,2012,37,44
sj,2012,38,44
sj,2012,39,44
sj,2012,40,44
sj,2012,41,44
sj,2012,42,44
sj,2012,43,44
sj,2012,44,44
sj,2012,45,44
sj,2012,46,44
sj,2012,47,35
sj,2012,48,35
sj,2012,49,35
sj,2012,50,13
sj,2012,51,26
sj,2013,1,13
sj,2013,2,26
sj,2013,3,17
sj,2013,4,17
sj,2013,5,26
sj,2013,6,17
sj,2013,7,17
sj,2013,8,17
sj,2013,9,17
sj,2013,10,17
sj,2013,11,10
sj,2013,12,10
sj,2013,13,13
sj,2013,14,26
sj,2013,15,35
sj,2013,16,13
sj,2013,17,26
iq,2010,26,7
iq,2010,27,3
iq,2010,28,7
iq,2010,29,3
iq,2010,30,3
iq,2010,31,3
iq,2010,32,3
iq,2010,33,3
iq,2010,34,3
